,conversation_id,created_at,date,hashtags,id,likes_count,name,replies_count,retweets_count,time,timezone,tweet,user_id,username,compound
33,1103769547126042624,2019-03-07 21:29:01,2019-03-07 00:00:00,"['#lonely', '#animals', '#funnyanimals', '#humor', '#social', '#sociallife', '#animallovers']",1103769547126042639,2,Online Alarm Clock,0,0,16:29:01,EDT,Time To Talk  ⏱ 😱 😱  https://timer.onlineclock.net/timers/  #Lonely #Animals #FunnyAnimals #Humor #Social #SocialLife #AnimalLovers pic.twitter.com/Av9HcQTBXM,15583616,onlineclock,0.0
34,1102187833375232000,2019-03-03 12:43:51,2019-03-03 00:00:00,"['#giletsjaunes', '#lonely', '#champsélysées', '#today']",1102187833375232000,5,csdickey,0,2,07:43:51,EDT,The #giletsjaunes are looking a little #lonely on the #champsélysées #today but cops have it cordoned off and check bags. @ George V (Paris Métro)  https://www.instagram.com/p/Bui-23ngg-1/?utm_source=ig_twitter_share&igshid=1mu91bhss6uyw …,17645400,csdickey,0.0
35,1097915227616804864,2019-02-19 17:46:03,2019-02-19 00:00:00,"['#lonely', '#salvationarmy']",1097915227616804864,5,Salvation Army IHQ,0,3,12:46:03,EDT,"‘Four or five years ago I buried my son. It is very hard for me. He was 32, he’s supposed to be 37 now. Now I’m alone, I’m #lonely.’  Find out how The #SalvationArmy helped this lady:  http://sar.my/gardeningforgod  pic.twitter.com/CNtxTA9xt0",266208458,salvarmyihq,-0.4005
36,1097679647666401280,2019-02-19 02:09:56,2019-02-18 00:00:00,"['#lonely', '#sweep']",1097679647666401280,5,Dr. Charles Sophy,2,0,21:09:56,EDT,Feeling #Lonely? Discover 18 Ways to Overcome Loneliness   https://www.psychologytoday.com/blog/click-here-happiness/201902/feeling-lonely-discover-18-ways-overcome-loneliness … #SWEEP,30666787,drsophy,-0.3182
37,1096001104087678976,2019-02-14 11:00:00,2019-02-14 00:00:00,"['#valentines', '#kisstory', '#lonely']",1096001104087678976,11,KISS FM UK,2,2,06:00:00,EDT,Feeling 'Lonely' this #Valentines?  #KISSTORY has got you! ❤️  1hr of Old Skool & Anthems here at 11am👇 🔊 http://bit.ly/LISTENKISS  🎵@Akon - #Lonely  pic.twitter.com/XcfuLh2wmV,8809462,kissfmuk,0.2003
38,1095995591887343616,2019-02-14 10:38:06,2019-02-14 00:00:00,"['#valentines', '#isolated', '#lonely', '#notalone', '#thesilverline', '#valentinesday', '#olderpeople']",1095995591887343616,11,The Silver Line,0,4,05:38:06,EDT,"'Happy #Valentines Day to you if you're all on your own,  If you're feeling #isolated or #lonely, please know you're #notalone.'  #TheSilverLine loves @allontheboard's #ValentinesDay poem. We're here for #olderpeople who are feeling alone + can pick up the phone: 0800 4 70 80 90. https://twitter.com/allontheboard/status/1095987948569460736 …",625303780,thesilverlineuk,0.8658
39,1095913867539070976,2019-02-14 05:13:21,2019-02-14 00:00:00,['#lonely'],1095913867539070976,1,Nicholas Liddle,1,1,00:13:21,EDT,".@flybymidnight just released their new single, #Lonely & it’s definitely one of my favorites. Check it out:   BUY & STREAM:  https://itunes.apple.com/us/album/lovely-single/1451945141 …  SPOTIFY:  https://open.spotify.com/track/4PyoaiaGyrcKMMicZCvzkj?si=7PEWz5aVRjG8jVtEYghz9w … pic.twitter.com/OJM6evksl1",400481570,nliddle16,0.6705
40,1095692380072759296,2019-02-13 14:33:15,2019-02-13 00:00:00,"['#agefriendlygm', '#thesilverline', '#manchester', '#sociallyisolated', '#lonely', '#olderpeople']",1095692380072759296,6,The Silver Line,0,0,09:33:15,EDT,"We welcome this focus on creating an #AgeFriendlyGM @GMAgeingHub   Last year alone, #TheSilverLine received over 65,000 calls from #Manchester, @greatermcr and the North West from #sociallyisolated and #lonely #olderpeople.  Thank you @MayorofGM for making this a priority. https://twitter.com/GMAgeingHub/status/1095632750093185024 …",625303780,thesilverlineuk,0.6908
41,1095453143725412352,2019-02-12 22:42:36,2019-02-12 00:00:00,"['#feelinglonely', '#ihadcancer', '#youarenotalone', '#tuesdaythoughts', '#lonely']",1095453143725412354,6,IHadCancer,3,4,17:42:36,EDT,"No matter how many times someone tells you (or that you may tell yourself) that you're not alone, it can still be hard to believe. What do you do when you're #feelinglonely? Do you go turn to writing? Do you reach out? #IHadCancer #YouAreNotAlone #TuesdayThoughts #lonely  pic.twitter.com/Xb8QRenDSA",44800896,ihadcancer,-0.296
42,1093498989939372032,2019-02-08 00:56:17,2019-02-07 00:00:00,"['#lonely', '#tonight', '#hangout', '#hutazone', '#daydream', '#fallin', '#ya', '#simplykpop', '#waitingforyou', '#leeminhyuk', '#allday']",1093674846003712000,1380,Simplykpop,1,684,19:56:17,EDT,"Feeling #Lonely #Tonight (w/ Melody) since we can’t #HangOut in #Hutazone for awhile but keep #DayDream.in & #Fallin’ in ❤️, watching #YA on #SimplyKpop on Fri, 1pm KST. We’ll be #WaitingForYou #LeeMinhyuk #AllDay all night until you return! Thx for the undisclosed selfie as a 🎁 pic.twitter.com/5yHbnDtqfk",505587119,_simplykpop,0.5848
43,1093655636586491904,2019-02-07 23:39:57,2019-02-07 00:00:00,"['#driving', '#drought', '#highschool', '#freshman', '#lonely', '#car', '#knee', '#surgery', '#recovery', '#santabarbara', '#california']",1093655636586491904,10,Jason Stiff,3,1,18:39:57,EDT,"I realized today I haven't driven for almost 3 weeks... longest #driving #drought since I was a #highschool #freshman. Since this 6'3"" guy can't bend his leg, it might be another 6 weeks before I can drive my #lonely #car again.  #knee #surgery #recovery #SantaBarbara #California pic.twitter.com/YAi0qyc8Fg",49842540,jasonstiff,0.0
44,1093072496604209152,2019-02-06 09:02:46,2019-02-06 00:00:00,"['#reclaimsocial', '#commbiz', '#thelittlethings', '#lonely', '#isolated']",1093072496604209152,8,Plunkett Foundation,0,5,04:02:46,EDT,🥳 Today's the day...we'll be getting involved @lightful #ReclaimSocial sharing our fav #commbiz stories + videos from 2018! First up is our fantastic #TheLittleThings film showcasing @Cletwr @IlmingtonShop @hampsteadncs and how they support those feeling #lonely #isolated pic.twitter.com/sw7iz2srfS,52419300,plunkettfoundat,0.9168
45,1091413069354328064,2019-02-01 19:08:47,2019-02-01 00:00:00,"['#dryjanuary', '#proud', '#lonely']",1091413069354328064,95,Jessica Lowe,6,5,14:08:47,EDT,"Just successfully completed my first #DryJanuary! 🎉🎊🎈This past month I slept better, woke up with  more energy, dropped 1% of my body weight and lost all of my friends! #proud #lonely",25536615,megalowemaniac,0.8713
46,1091161746793025536,2019-02-01 02:30:07,2019-01-31 00:00:00,"['#australiankids', '#lonely']",1091161746793025536,0,Kidspot,0,0,21:30:07,EDT,#Australiankids now feel more #lonely and out of place at school >>>  http://bit.ly/2S38Dh6  pic.twitter.com/tQtdXJy4tW,46265444,kidspotsocial,0.0
47,1090994498828754944,2019-01-31 15:25:32,2019-01-31 00:00:00,"['#sad', '#lonely', '#angry', '#resentful', '#tired', '#hurt', '#disappointed', '#anxiety', '#outofcontrol', '#needtocontrol']",1090994498828754945,8,Models Of Diversity,0,2,10:25:32,EDT,"From  ""Im having a fat day"" To  ""Im not in tune with my body today  "" Sometimes its a emotional discord rather than  physical  .  Emotional check #Sad #Lonely #Angry #resentful #Tired #Hurt #Disappointed #anxiety #outofcontrol #Needtocontrol pic.twitter.com/29CHGFJDq3",40627484,modsofdiversity,-0.128
48,1090230628426178560,2019-01-29 12:50:11,2019-01-29 00:00:00,"['#lonely', '#lonelinesscafe', '#socialisolation', '#london', '#tuesdaymotivation']",1090230628426178560,6,The Silver Line,0,2,07:50:11,EDT,"'People shouldn't feel stigma attached to being #lonely. When I see everybody's lively conversation, it warms the cockles of my heart.'  Louise Kaye's #LonelinessCafe helps fight #socialisolation in #London.   A wonderful @BBCNews #TuesdayMotivation story: https://www.bbc.co.uk/news/av/uk-england-london-47013525/inside-london-s-loneliness-caf …",625303780,thesilverlineuk,0.8271
49,1088970182226264064,2019-01-26 01:21:38,2019-01-25 00:00:00,"['#love', '#motions', '#fear', '#lonely', '#madness', '#tolerism']",1088970182226264064,27,Divorce Court,3,6,20:21:38,EDT,These two weren't in #love. They were just going with the #motions out of #fear of being #lonely. Find out all the #madness that led to this #Tolerism here:  https://buff.ly/2Mxnryy  pic.twitter.com/JOSfeXauR4,28376357,divorcecourt,0.0
50,1088896399612235776,2019-01-25 20:28:27,2019-01-25 00:00:00,"['#lonely', '#divorcecourt']",1088896399612235784,1,Divorce Court,0,0,15:28:27,EDT,"""If i'm going to be with someone I might as well be with him."" That statement hurts. She just doesn't want to be #Lonely. #DivorceCourt pic.twitter.com/cv52qCUOdM",28376357,divorcecourt,-0.3009
51,1088629146857594880,2019-01-25 02:46:29,2019-01-24 00:00:00,"['#lonely', '#sad']",1088629146857594881,4617,Casey Neistat,248,89,21:46:29,EDT,is anyone in Park City and if so does anyone want to hang out with me? #lonely #sad pic.twitter.com/ytZp6GteUC,154221292,casey,0.144
52,1087605382766317568,2019-01-22 06:58:24,2019-01-22 00:00:00,"['#brewmondayvideo', '#helloneighbour', '#lonely']",1087605382766317568,3,Nextdoor UK,1,0,01:58:24,EDT,We love this #BrewMondayvideo from the @samaritans - this is exactly what our #helloneighbour challenge is all about. Reaching out to a neighbour who may be struggling or feeling #lonely to help make the world a less lonely place 💚  https://twitter.com/samaritans/status/1087250945736622080 …,775638650939990016,nextdoor_uk,0.6697
53,1087290908381532160,2019-01-21 10:08:48,2019-01-21 00:00:00,"['#bluemonday', '#lonely', '#isolated', '#support4life']",1087290908381532160,12,Ben,0,9,05:08:48,EDT,"Today is #BlueMonday - the most depressing day of the year.  Most of us turn to friends & family to support you through the dark days, but what about those who feel #lonely or #isolated? If that’s you, we have some tips to combat loneliness:  http://ben.org.uk/loneliness  #Support4Life pic.twitter.com/KGGTrMxh49",20978860,bensupport4auto,-0.7047
54,1085652239337705472,2019-01-16 21:37:18,2019-01-16 00:00:00,"['#maybe', '#smoke', '#dances', '#exhale', '#lonely', '#vices', '#addicted', '#race']",1085652239337705474,3,Dylan Taylor,0,1,16:37:18,EDT,#Maybe it’s the way the #smoke #dances now Round the room as I #exhale out #Lonely trail every body done put their #vices down We’re all #addicted to the chase now All just slaves to #race now pic.twitter.com/6cJqUpHR8E,256200145,dylantaylornow,0.0
55,1085084862602727424,2019-01-15 08:02:45,2019-01-15 00:00:00,"['#letsmakeababy', '#sanctuarylove', '#lonely', '#uthando', '#pleasure', '#ngiyazi', '#yebosthandwasam', '#nalediyamafifi', '#makeyoufeelloved', '#dejavu']",1085084862602727424,20,#Ngiyazfela,2,9,03:02:45,EDT,#LetsMakeABaby #SanctuaryLove #Lonely #Uthando #Pleasure #Ngiyazi #YeboSthandwaSam #NalediYaMafifi #MakeYouFeelLoved #Dejavu   Her Name Is,51185181,donaldindenial,0.0
56,1085040438460014592,2019-01-15 05:06:14,2019-01-15 00:00:00,"['#letsmakeababy', '#sanctuarylove', '#lonely', '#uthando', '#pleasure', '#ngiyazi', '#yebosthandwasam', '#nalediyamafifi', '#makeyoufeelloved', '#dejavu']",1085040438460014593,25,#Ngiyazfela,2,3,00:06:14,EDT,This is what The album “Her Name Is” looks like for now   #LetsMakeABaby #SanctuaryLove #Lonely #Uthando #Pleasure #Ngiyazi #YeboSthandwaSam #NalediYaMafifi #MakeYouFeelLoved #Dejavu   10 more songs to go...,51185181,donaldindenial,0.3612
57,1084766328697827328,2019-01-14 10:57:01,2019-01-14 00:00:00,"['#olderpeople', '#england', '#lonely']",1084766328697827329,9,The Silver Line,0,8,05:57:01,EDT,Carol spends many nights a week on the night bus to feel less lonely. She is not alone. Roughly 1.4 million #olderpeople in #England are chronically #lonely. Text SILVER to 70660 to donate £10 + help  http://www.thesilverline.org.uk  answer 2 calls from older people https://www.bbc.co.uk/news/av/uk-england-london-46701031/the-woman-who-spends-her-nights-on-a-london-bus …,625303780,thesilverlineuk,0.3034
58,1083849253670318080,2019-01-11 22:12:53,2019-01-11 00:00:00,['#lonely'],1083849253670318080,0,Theresa Boyle,0,1,17:12:53,EDT,#Lonely? Tech firms hope you’ll use an app for that  https://www.thestar.com/business/2019/01/10/lonely-tech-firms-hope-youll-use-an-app-for-that.html … via @torontostar,37935680,theresaboyle,0.4404
59,1083501283754102784,2019-01-10 23:10:11,2019-01-10 00:00:00,"['#lonely', '#heartbrokenmommy']",1083501283754102785,15,Alyssa Day 🐅 is deadlining,0,0,18:10:11,EDT,"I miss my baby girl, who went back to college Sunday after her Christmas break. Is it too soon to go visit?? #lonely #heartbrokenMommy",17181849,alyssa_day,-0.2406
60,1083109183300476928,2019-01-09 21:12:07,2019-01-09 00:00:00,"['#wednesdaythoughts', '#lonely', '#wednesdaythoughts']",1083109183300476930,0,Jorge Luis Lopez Esq,0,0,16:12:07,EDT,#wednesdaythoughts RT @holliemstone: Sometimes I feel like I have so much to say and no one wants to hear it. #lonely #wednesdaythoughts,92677101,lopezgovlaw,0.0772
61,1080841531467202560,2019-01-03 15:01:16,2019-01-03 00:00:00,"['#anxious', '#depressed', '#lonely', '#sicknotweak']",1080841531467202560,69,SickNotWeak,5,17,10:01:16,EDT,#Anxious? #Depressed? #Lonely? You're not alone. #SickNotWeak is here for you.,4832892941,sicknotweak,0.3138
62,1080433798603554816,2019-01-02 12:01:05,2019-01-02 00:00:00,['#lonely'],1080433798603554819,1,Relentless Records,0,1,07:01:05,EDT,Alan Walker & Steve Aoki #Lonely  pic.twitter.com/gus4rdUk6g,362427294,relentlessrecs,0.0
